"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Hartlepool","E06000001",92334,90173,88673,1358,574,663,62,59,142,142,489,1392,198,77,5
"2021","Middlesbrough","E06000002",143928,131177,126242,4505,1495,1746,1184,80,430,430,3388,8960,309,82,12
"2021","Redcar and Cleveland","E06000003",136529,134386,132550,1651,1054,358,135,104,185,185,526,1198,272,146,1
"2021","Stockton-on-Tees","E06000004",196595,188227,184328,3511,1888,890,570,163,388,388,2249,5310,608,190,11
"2021","Darlington","E06000005",107799,104041,99373,4425,1495,1969,815,146,243,243,791,2403,418,139,7
"2021","County Durham","E06000047",522067,509647,499175,9492,5283,2988,842,379,980,980,2606,7324,1787,624,79
"2021","Northumberland","E06000057",320567,314487,309315,4609,2937,1035,373,264,563,563,1494,2949,1118,485,34
"2021","Newcastle upon Tyne","E08000021",300127,265064,247792,15517,7118,5306,2573,520,1755,1755,7938,24498,2106,454,67
"2021","North Tyneside","E08000022",208967,202339,197429,4279,2411,996,693,179,631,631,1458,4055,773,332,10
"2021","South Tyneside","E08000023",147777,143605,141225,2086,1194,610,207,75,294,294,821,2901,342,97,11
"2021","Sunderland","E08000024",274172,265350,260190,4685,2280,1555,643,207,475,475,2644,5479,510,167,22
"2021","Gateshead","E08000037",196151,187935,181578,5608,2348,2242,883,135,749,749,2068,5224,730,181,13
"2021","Halton","E06000006",128478,126124,122350,3422,1228,1210,916,68,352,352,574,1300,344,132,4
"2021","Warrington","E06000007",210975,202887,191226,10768,2803,5526,2267,172,893,893,1770,5023,805,342,148
"2021","Blackburn with Darwen","E06000008",154738,133407,126745,6291,2372,2939,907,73,371,371,2708,18108,378,107,30
"2021","Blackpool","E06000009",141037,136380,129903,6126,1994,2828,1134,170,351,351,906,3143,422,175,11
"2021","Cheshire East","E06000049",398772,383985,365637,16976,5993,7439,3208,336,1372,1372,3424,8288,2173,843,59
"2021","Cheshire West and Chester","E06000050",357149,345044,330940,12720,6078,4450,1865,327,1384,1384,3194,6265,1953,622,71
"2021","Allerdale","E07000026",96150,94749,93035,1546,801,500,189,56,168,168,376,635,241,131,18
"2021","Barrow-in-Furness","E07000027",67403,65872,64829,890,472,194,174,50,153,153,400,857,188,85,1
"2021","Carlisle","E07000028",110022,107202,102654,4313,1443,2009,737,124,235,235,747,1532,376,149,16
"2021","Copeland","E07000029",67075,65983,65116,753,444,186,81,42,114,114,316,539,146,87,4
"2021","Eden","E07000030",54733,53622,51963,1565,509,543,477,36,94,94,338,456,205,103,9
"2021","South Lakeland","E07000031",104450,101917,98125,3562,1344,1552,605,61,230,230,661,945,648,268,11
"2021","Burnley","E07000117",94647,87753,82579,4924,1417,2103,1321,83,250,250,408,6212,203,60,11
"2021","Chorley","E07000118",117731,115009,111902,2901,1352,1251,234,64,206,206,731,1330,471,163,27
"2021","Fylde","E07000119",81374,79313,76530,2564,1334,912,176,142,219,219,519,1030,340,165,7
"2021","Hyndburn","E07000120",82233,77404,74872,2417,817,1383,172,45,115,115,362,4245,147,68,7
"2021","Lancaster","E07000121",142934,136371,129346,6470,2555,2853,861,201,555,555,1436,4006,828,265,28
"2021","Pendle","E07000122",95755,84734,78852,5733,2014,2506,1171,42,149,149,387,10345,194,92,3
"2021","Preston","E07000123",147835,129696,119341,9835,2690,4872,2120,153,520,520,3563,13442,887,150,97
"2021","Ribble Valley","E07000124",61559,60195,58971,1130,670,374,44,42,94,94,300,721,219,123,1
"2021","Rossendale","E07000125",70871,68661,67329,1236,811,320,75,30,96,96,265,1700,160,73,12
"2021","South Ribble","E07000126",111035,108506,105522,2800,1292,1102,278,128,184,184,743,1285,355,127,19
"2021","West Lancashire","E07000127",117429,115268,110440,4524,1466,2138,853,67,304,304,549,1069,389,135,19
"2021","Wyre","E07000128",111946,109935,107748,1945,1169,305,394,77,242,242,458,1085,312,149,7
"2021","Bolton","E08000001",295959,258279,245907,11318,5711,4436,1017,154,1054,1054,9616,26654,1129,222,59
"2021","Bury","E08000002",193852,178750,170444,7499,3993,2890,489,127,807,807,2818,10966,1048,236,34
"2021","Manchester","E08000003",551937,428451,378730,45259,27900,12576,4089,694,4462,4462,37872,75297,8821,977,519
"2021","Oldham","E08000004",242088,212093,201825,9810,5293,2452,1949,116,458,458,4761,24191,849,154,40
"2021","Rochdale","E08000005",223773,199617,189122,9883,4728,4075,948,132,612,612,5419,17822,707,174,34
"2021","Salford","E08000006",269920,240629,218617,19856,8833,8235,2511,277,2156,2156,11437,14411,2834,416,193
"2021","Stockport","E08000007",294774,276325,266918,8338,5288,2064,709,277,1069,1069,3296,13067,1572,485,29
"2021","Tameside","E08000008",231070,215275,207201,7518,3825,2986,582,125,556,556,4203,10670,686,183,53
"2021","Trafford","E08000009",235052,210803,200116,9655,6201,2475,653,326,1032,1032,4315,16758,2596,513,67
"2021","Wigan","E08000010",329328,319893,308857,10077,3273,4468,2139,197,959,959,3339,4819,911,331,35
"2021","Knowsley","E08000011",154519,150646,146552,3672,1211,1709,665,87,422,422,1010,2014,782,59,8
"2021","Liverpool","E08000012",486089,442188,413636,25502,10795,9849,4386,472,3050,3050,11146,26359,5672,619,105
"2021","St. Helens","E08000013",183247,179396,174056,4881,1724,2178,889,90,459,459,973,2160,537,164,17
"2021","Sefton","E08000014",279233,272026,261264,9861,3890,4185,1594,192,901,901,1743,3582,1475,386,21
"2021","Wirral","E08000015",320200,310779,302789,7167,4160,1904,839,264,823,823,1880,5656,1343,498,44
"2021","Kingston upon Hull, City of","E06000010",267013,254661,232051,21264,3229,13709,4113,213,1346,1346,3894,7498,690,224,46
"2021","East Riding of Yorkshire","E06000011",342215,335171,325230,9232,3905,3943,1025,359,709,709,1726,3499,1241,547,31
"2021","North East Lincolnshire","E06000012",156964,153271,146658,6253,1451,2905,1725,172,360,360,1011,2233,305,133,11
"2021","North Lincolnshire","E06000013",169681,164223,153709,10189,2319,5885,1832,153,325,325,1025,3802,452,157,22
"2021","York","E06000014",202822,191191,180964,8998,5030,2754,908,306,1229,1229,1936,6938,2129,594,34
"2021","Craven","E07000163",56927,55543,54295,1159,589,419,108,43,89,89,304,685,240,151,4
"2021","Hambleton","E07000164",90689,88747,86235,2366,1303,789,136,138,146,146,588,821,290,228,15
"2021","Harrogate","E07000165",162668,155459,148113,6643,3276,2618,527,222,703,703,1562,2839,2231,562,15
"2021","Richmondshire","E07000166",49776,47172,45405,1685,1322,184,59,120,82,82,389,1591,290,327,7
"2021","Ryedale","E07000167",54705,53639,51851,1658,687,593,330,48,130,130,291,403,214,150,8
"2021","Scarborough","E07000168",108736,106158,102093,3827,1201,1527,897,202,238,238,613,1405,355,190,15
"2021","Selby","E07000169",91991,90366,86958,3228,1033,1699,406,90,180,180,504,652,301,159,9
"2021","Barnsley","E08000016",244571,240148,228841,10589,1894,4717,3822,156,718,718,1569,2149,510,182,13
"2021","Doncaster","E08000017",308103,297915,275987,20407,3207,10229,6647,324,1521,1521,2967,6052,904,251,14
"2021","Rotherham","E08000018",265805,255956,247612,7677,2005,4547,957,168,667,667,2336,6789,554,156,14
"2021","Sheffield","E08000019",556523,499065,473313,22905,8905,10197,3160,643,2847,2847,16483,35669,4420,678,208
"2021","Bradford","E08000032",546411,470329,444477,24347,6900,15444,1729,274,1505,1505,8594,64195,2575,557,161
"2021","Calderdale","E08000033",206629,195582,189037,6067,2605,2945,349,168,478,478,1286,8758,690,292,21
"2021","Kirklees","E08000034",433216,392497,378708,12676,5214,5635,1530,297,1113,1113,5585,31852,2743,477,62
"2021","Leeds","E08000035",811953,729705,683681,42283,18554,16855,6054,820,3741,3741,27227,46132,6962,1370,557
"2021","Wakefield","E08000036",353370,341078,323296,16957,3524,11816,1410,207,825,825,3694,7363,872,337,26
"2021","Derby","E06000015",261364,231311,210170,19668,5383,11633,2336,316,1473,1473,5941,21633,2196,223,60
"2021","Leicester","E06000016",368570,251917,217078,31880,11936,13164,6235,545,2959,2959,33542,79372,2825,447,467
"2021","Rutland","E06000017",41049,39176,37658,1352,850,328,62,112,166,166,623,610,395,224,21
"2021","Nottingham","E06000018",323632,273133,244133,26759,10059,11975,4148,577,2241,2241,14762,29073,5880,422,362
"2021","North Northamptonshire","E06000061",359523,339984,303952,32522,6803,16344,8583,792,3510,3510,8124,7695,3105,492,123
"2021","West Northamptonshire","E06000062",425725,393212,345735,37978,9395,15756,12279,548,9499,9499,13894,13726,3869,851,173
"2021","Amber Valley","E07000032",126204,124187,121480,2478,1085,1029,261,103,229,229,566,892,406,136,17
"2021","Bolsover","E07000033",80273,79092,75662,3308,668,2067,512,61,122,122,435,519,163,57,7
"2021","Chesterfield","E07000034",103567,100998,98498,2212,1105,731,302,74,288,288,721,1428,318,86,16
"2021","Derbyshire Dales","E07000035",71543,70134,68848,1167,755,308,52,52,119,119,379,521,342,161,6
"2021","Erewash","E07000036",112906,110351,106972,3156,1269,1297,471,119,223,223,722,1203,460,159,11
"2021","High Peak","E07000037",90933,89207,87157,1869,1162,539,98,70,181,181,444,718,373,182,9
"2021","North East Derbyshire","E07000038",102000,100511,98829,1490,793,507,128,62,192,192,440,717,242,78,12
"2021","South Derbyshire","E07000039",107209,103807,100786,2780,1162,1196,321,101,241,241,812,2069,381,130,10
"2021","Blaby","E07000129",102924,96986,93029,3564,1334,1550,530,150,393,393,2057,3279,469,117,16
"2021","Charnwood","E07000130",183971,167967,159857,7373,3441,2356,1310,266,737,737,5057,9576,993,320,58
"2021","Harborough","E07000131",97626,93473,90617,2582,1415,790,289,88,274,274,1477,1938,469,248,21
"2021","Hinckley and Bosworth","E07000132",113638,110476,106587,3581,1318,1479,667,117,308,308,1057,1519,410,165,11
"2021","Melton","E07000133",51753,50633,48514,2012,781,1022,123,86,107,107,377,468,165,101,9
"2021","North West Leicestershire","E07000134",104707,102295,98326,3728,1257,1789,575,107,241,241,824,1086,356,142,4
"2021","Oadby and Wigston","E07000135",57748,48873,46568,1886,993,636,182,75,419,419,3270,5144,355,68,38
"2021","Boston","E07000136",70502,68338,53830,14099,1282,10072,2675,70,409,409,584,1266,260,50,4
"2021","East Lindsey","E07000137",142294,139918,136421,3188,1587,1187,251,163,309,309,624,1170,407,159,16
"2021","Lincoln","E07000138",103814,98571,88152,9904,2426,5162,2108,208,515,515,1326,3045,689,155,28
"2021","North Kesteven","E07000139",118074,115320,110835,4189,2193,1311,298,387,296,296,772,1214,569,186,13
"2021","South Holland","E07000140",95125,92911,81215,11424,1577,7957,1756,134,272,272,699,992,433,80,10
"2021","South Kesteven","E07000141",143405,138641,130616,7617,2795,3932,579,311,408,408,1378,2301,798,261,26
"2021","West Lindsey","E07000142",95152,93016,90468,2390,1332,756,159,143,158,158,598,1042,369,115,12
"2021","Ashfield","E07000170",126300,123320,119087,3993,1017,2134,751,91,240,240,1044,1487,349,78,22
"2021","Bassetlaw","E07000171",117805,115426,109896,5280,1165,3103,913,99,250,250,707,1185,325,155,7
"2021","Broxtowe","E07000172",110940,104285,99589,4228,2060,1499,543,126,468,468,1528,4121,777,206,23
"2021","Gedling","E07000173",117262,112417,108337,3692,1796,1418,344,134,388,388,1318,2492,854,154,27
"2021","Mansfield","E07000174",110481,107539,98571,8537,1119,5280,2033,105,431,431,919,1571,347,93,12
"2021","Newark and Sherwood","E07000175",122956,120266,114028,5937,1561,3192,1052,132,301,301,825,1139,508,211,7
"2021","Rushcliffe","E07000176",119076,112883,109177,3321,2249,694,210,168,385,385,1340,3708,823,295,27
"2021","Herefordshire, County of","E06000019",187034,181557,170958,10117,2575,4964,2380,198,482,482,1482,2560,889,518,28
"2021","Telford and Wrekin","E06000020",185540,175530,164432,10634,3075,4918,2394,247,464,464,3597,5417,739,225,32
"2021","Stoke-on-Trent","E06000021",258371,238952,224531,13400,3526,5482,4208,184,1021,1021,4501,13550,893,425,50
"2021","Shropshire","E06000051",323607,314995,304471,9706,4361,2607,2416,322,818,818,2235,4140,1443,745,49
"2021","Cannock Chase","E07000192",100517,99144,96919,2047,818,606,549,74,178,178,332,764,208,61,8
"2021","East Staffordshire","E07000193",124019,117042,106755,9902,1541,5934,2322,105,385,385,971,5400,467,133,6
"2021","Lichfield","E07000194",106435,103988,101308,2470,1145,894,345,86,210,210,559,1306,409,155,18
"2021","Newcastle-under-Lyme","E07000195",123300,118663,114929,3261,1305,1209,629,118,473,473,1031,3039,403,151,13
"2021","South Staffordshire","E07000196",110472,108393,106840,1391,882,313,120,76,162,162,512,1143,313,94,17
"2021","Stafford","E07000197",136865,131499,126625,4529,1955,1360,1015,199,345,345,1213,3175,761,194,23
"2021","Staffordshire Moorlands","E07000198",95844,94752,93393,1236,655,354,159,68,123,123,250,527,217,95,3
"2021","Tamworth","E07000199",78647,77355,73339,3801,781,1290,1657,73,215,215,363,649,202,72,6
"2021","North Warwickshire","E07000218",65035,64031,62234,1665,645,436,557,27,132,132,305,449,198,49,3
"2021","Nuneaton and Bedworth","E07000219",134198,125972,118758,6863,1702,3255,1772,134,351,351,1997,5558,526,110,35
"2021","Rugby","E07000220",114363,105642,93470,11136,2851,5985,2200,100,1036,1036,2685,4715,1086,219,16
"2021","Stratford-on-Avon","E07000221",134726,129788,123358,5931,2569,2071,1119,172,499,499,1376,2095,1011,436,20
"2021","Warwick","E07000222",148453,135295,124265,10025,5871,2251,1661,242,1005,1005,2089,8599,1926,517,27
"2021","Bromsgrove","E07000234",99183,96402,94380,1762,1170,363,144,85,260,260,705,1498,433,136,9
"2021","Malvern Hills","E07000235",79489,77071,74872,1996,1114,597,194,91,203,203,722,1046,423,216,11
"2021","Redditch","E07000236",87037,83489,77100,6176,965,4113,1035,63,213,213,602,2446,414,79,7
"2021","Worcester","E07000237",103872,98272,90586,7173,2304,2772,1950,147,513,513,1258,3539,602,183,18
"2021","Wychavon","E07000238",132494,129329,121686,7331,1634,3475,2077,145,312,312,1034,1304,568,240,19
"2021","Wyre Forest","E07000239",101607,99586,96555,2841,1077,1068,609,87,190,190,390,1237,266,117,11
"2021","Birmingham","E08000025",1144919,914214,838959,68045,37203,15851,13838,1153,7210,7210,52305,155565,20361,1027,1447
"2021","Coventry","E08000026",345324,286662,248991,34802,12303,12860,9215,424,2869,2869,18850,36390,2938,332,152
"2021","Dudley","E08000027",323488,306050,297930,7241,3052,2534,1470,185,879,879,3273,12325,1614,175,51
"2021","Sandwell","E08000028",341833,282840,261213,19806,7095,9579,2978,154,1821,1821,9786,43547,5239,128,293
"2021","Solihull","E08000029",216238,201075,193991,6404,4089,1326,764,225,680,680,3078,10166,1531,324,64
"2021","Walsall","E08000030",284120,254733,242162,11983,3941,5487,2368,187,588,588,5499,21821,1839,122,106
"2021","Wolverhampton","E08000031",263727,221656,203312,17150,5782,7137,4080,151,1194,1194,9414,28308,3955,167,227
"2021","Peterborough","E06000031",215673,189839,154787,33434,6760,21719,4636,319,1618,1618,6847,16162,2483,276,66
"2021","Luton","E06000032",225262,171322,138675,29831,9100,11345,9173,213,2816,2816,11067,38597,3996,157,123
"2021","Southend-on-Sea","E06000033",180686,168233,158100,8694,3942,3206,1264,282,1439,1439,4131,6606,1246,438,32
"2021","Thurrock","E06000034",176000,157657,139059,16122,2866,7021,6032,203,2476,2476,9920,6764,1439,164,56
"2021","Bedford","E06000055",185226,165544,145586,18401,6117,8005,3749,530,1557,1557,5634,11223,2411,370,44
"2021","Central Bedfordshire","E06000056",294252,279061,261763,15932,6541,5214,3768,409,1366,1366,5486,6664,2314,658,69
"2021","Cambridge","E07000008",145674,116763,90388,23026,15026,5419,2099,482,3349,3349,3741,17637,6217,1284,32
"2021","East Cambridgeshire","E07000009",87762,83091,77395,5298,2279,2138,746,135,398,398,1243,1541,1605,267,15
"2021","Fenland","E07000010",102461,100013,89691,9833,1547,6851,1304,131,489,489,764,1063,493,110,18
"2021","Huntingdonshire","E07000011",180830,170022,158430,10751,4061,4832,1477,381,841,841,2943,4255,3129,452,29
"2021","South Cambridgeshire","E07000012",162120,148089,135924,10831,6069,3003,1498,261,1334,1334,3270,7291,2646,801,23
"2021","Basildon","E07000066",187573,175221,165407,8340,2802,2619,2682,237,1474,1474,5278,5361,1332,312,69
"2021","Braintree","E07000067",155268,150228,144076,5642,2485,2071,907,179,510,510,1881,1949,863,331,16
"2021","Brentwood","E07000068",77048,72148,68392,3224,1773,706,608,137,532,532,1543,2476,619,247,15
"2021","Castle Point","E07000069",89586,87202,85303,1641,984,324,222,111,258,258,856,1116,297,107,8
"2021","Chelmsford","E07000070",181520,168872,159914,7929,3874,1964,1880,211,1029,1029,3862,6930,1355,442,59
"2021","Colchester","E07000071",192714,177726,164707,11751,5321,3178,2768,484,1268,1268,4399,8228,1814,501,46
"2021","Epping Forest","E07000072",134980,126119,116277,7726,2997,2132,2107,490,2116,2116,2700,4431,1339,367,24
"2021","Harlow","E07000073",93328,85402,76255,7984,1933,3394,2502,155,1163,1163,3462,3645,673,109,37
"2021","Maldon","E07000074",66208,64733,63255,1337,805,269,188,75,141,141,439,637,249,133,17
"2021","Rochford","E07000075",85662,83700,82203,1299,862,238,116,83,198,198,620,887,304,143,8
"2021","Tendring","E07000076",148292,144948,140821,3786,2249,918,422,197,341,341,968,1569,567,224,16
"2021","Uttlesford","E07000077",91338,87569,83396,3776,2235,955,456,130,397,397,1192,1476,735,352,14
"2021","Broxbourne","E07000095",99010,92746,81314,8525,3322,2512,1752,939,2907,2907,2917,1993,1178,147,29
"2021","Dacorum","E07000096",155081,143450,132881,9410,3845,2410,2972,183,1159,1159,3907,5341,1723,581,79
