date,geography,geography code,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,Method of travel to workplace: Work mainly at or from home,"Method of travel to workplace: Underground, metro, light rail, tram",Method of travel to workplace: Train,"Method of travel to workplace: Bus, minibus or coach",Method of travel to workplace: Taxi,"Method of travel to workplace: Motorcycle, scooter or moped",Method of travel to workplace: Driving a car or van,Method of travel to workplace: Passenger in a car or van,Method of travel to workplace: Bicycle,Method of travel to workplace: On foot,Method of travel to workplace: Other method of travel to work
2021,Hartlepool,E06000001,37750,6570,33,269,1241,639,73,22448,2276,561,3131,509
2021,Middlesbrough,E06000002,56436,9478,28,469,2264,2050,99,30745,4060,1121,5129,993
2021,Redcar and Cleveland,E06000003,55622,10019,19,556,1592,758,126,33885,3032,632,4096,907
2021,Stockton-on-Tees,E06000004,86443,18809,45,526,2256,1319,195,50924,4392,1260,5439,1278
2021,Darlington,E06000005,49296,11962,18,403,1405,720,122,25487,2742,966,4982,489
2021,Halton,E06000006,58707,14548,26,470,1916,492,232,31780,3231,1182,4296,534
2021,Warrington,E06000007,103191,32647,51,686,2056,764,408,52839,4639,2552,5666,883
2021,Blackburn with Darwen,E06000008,63558,12388,32,522,1568,2120,196,35313,4279,445,6018,677
2021,Blackpool,E06000009,59362,12013,262,321,3381,948,333,29376,3481,1375,7004,868
2021,"Kingston upon Hull, City of",E06000010,117789,15534,41,414,8903,1497,969,61237,9104,8169,10676,1245
2021,East Riding of Yorkshire,E06000011,156121,38568,57,782,1936,388,697,89258,6390,4063,12269,1713
2021,North East Lincolnshire,E06000012,68850,9605,19,157,2272,567,359,41180,4040,3423,6360,868
2021,North Lincolnshire,E06000013,76223,13277,21,131,1036,233,378,47177,4265,2307,6617,781
2021,York,E06000014,96196,34159,53,593,3194,384,526,35183,2826,7001,11480,797
2021,Derby,E06000015,116201,27260,83,537,5982,2065,547,57902,6705,2956,11079,1085
2021,Leicester,E06000016,154934,29530,145,755,10782,2876,469,67246,13734,5470,21589,2338
2021,Rutland,E06000017,18784,6404,8,99,70,35,59,9037,516,368,2004,184
2021,Nottingham,E06000018,128867,32915,2760,810,15217,1496,553,50069,5931,3565,13748,1803
2021,"Herefordshire, County of",E06000019,88509,22618,31,271,555,248,404,47936,3640,2569,9391,846
2021,Telford and Wrekin,E06000020,85497,20430,41,525,1134,2347,364,48046,5392,1297,5159,762
2021,Stoke-on-Trent,E06000021,112580,17161,33,452,3679,3933,561,65636,8760,1620,9618,1127
2021,Bath and North East Somerset,E06000022,89815,34611,62,629,3063,235,522,35753,2637,1713,9848,742
2021,"Bristol, City of",E06000023,238512,92026,115,1650,14617,999,1545,78915,7329,12466,26730,2120
2021,North Somerset,E06000024,102699,33466,30,801,1782,386,509,51958,3798,1951,7185,833
2021,South Gloucestershire,E06000025,147610,52349,40,438,4442,276,968,71696,4890,3060,8371,1080
2021,Plymouth,E06000026,121017,25656,44,371,7672,1201,1582,61976,6220,2554,12221,1520
2021,Torbay,E06000027,58935,12155,20,340,1971,379,580,31532,3068,702,7442,746
2021,Swindon,E06000030,117866,36022,64,514,6612,830,559,55279,6049,3289,7517,1131
2021,Peterborough,E06000031,100968,24747,86,975,3644,2289,421,48971,7145,3823,7664,1203
2021,Luton,E06000032,98721,21199,334,2509,6718,1816,264,47641,6719,1103,8955,1463
2021,Southend-on-Sea,E06000033,83259,27823,242,4523,2601,390,378,33110,2865,1766,8570,991
2021,Thurrock,E06000034,85948,21081,1980,6046,2602,555,530,43245,3548,1016,4355,990
2021,Medway,E06000035,132606,34466,313,5339,3090,815,807,69504,6301,942,9519,1510
2021,Bracknell Forest,E06000036,66396,26512,68,976,733,242,287,30194,2160,912,3755,557
2021,West Berkshire,E06000037,82312,33988,65,918,1217,133,292,35715,2773,1250,5310,651
2021,Reading,E06000038,88866,34950,141,2412,6584,318,349,27914,2905,2361,10088,844
2021,Slough,E06000039,73699,19976,587,2323,3147,928,330,34407,3784,1529,5677,1011
2021,Windsor and Maidenhead,E06000040,76301,36565,206,1862,444,331,247,27949,1948,1006,4969,774
2021,Wokingham,E06000041,89467,45352,124,1376,1336,122,264,33381,2121,1157,3578,656
2021,Milton Keynes,E06000042,143379,52198,228,1915,4533,2856,448,62713,6985,2809,7288,1406
2021,Brighton and Hove,E06000043,139290,59495,158,3539,9946,539,931,34893,3085,5282,19855,1567
2021,Portsmouth,E06000044,97787,24315,63,1894,4968,1291,807,40707,4854,5128,12424,1336
2021,Southampton,E06000045,118232,30282,84,1430,7835,861,787,51655,5945,3605,14255,1493
2021,Isle of Wight,E06000046,57910,12922,39,252,2291,83,621,29704,2100,1275,7404,1219
2021,County Durham,E06000047,222220,53014,98,730,7478,1414,585,127527,11802,1607,15713,2252
2021,Cheshire East,E06000049,192487,67827,98,1630,1328,931,663,93442,7454,3537,13950,1627
2021,Cheshire West and Chester,E06000050,169087,53184,90,1291,2913,988,669,85824,6624,3399,12543,1562
2021,Shropshire,E06000051,152422,41525,35,762,1110,731,428,83469,6421,2926,13662,1353
2021,Cornwall,E06000052,254246,62832,80,1275,3410,686,1925,142649,10378,2988,25022,3001
2021,Isles of Scilly,E06000053,1115,322,0,1,7,1,9,282,19,127,309,38
2021,Wiltshire,E06000054,252341,85967,152,1738,3845,468,1103,122462,8743,4445,21174,2244
2021,Bedford,E06000055,90865,28568,106,1352,1782,1102,356,42890,4403,2529,6935,842
2021,Central Bedfordshire,E06000056,151077,52153,205,3042,1560,373,470,76820,4976,1505,8754,1219
2021,Northumberland,E06000057,140777,38430,206,610,3995,586,286,76220,5930,1463,11346,1705
2021,"Bournemouth, Christchurch and Poole",E06000058,186032,55150,133,1030,8312,574,1492,89083,6898,5984,15391,1985
2021,Dorset,E06000059,167777,47397,103,731,1888,373,1009,90473,5656,2973,15429,1745
2021,Buckinghamshire,E06000060,273236,112181,1917,4044,3830,1635,892,119924,8242,2218,15888,2465
2021,North Northamptonshire,E06000061,178855,42162,107,921,2469,1739,604,101925,10782,2905,13596,1645
2021,West Northamptonshire,E06000062,215994,62832,151,1249,7640,1282,722,110576,11275,3308,14950,2009
2021,Cambridge,E07000008,70596,32113,85,806,2515,423,373,13485,1530,11836,6858,572
2021,East Cambridgeshire,E07000009,44695,15606,16,894,320,105,173,22735,1473,812,2211,350
2021,Fenland,E07000010,47110,9463,26,294,528,129,218,28166,2708,1457,3654,467
2021,Huntingdonshire,E07000011,91392,31900,51,1005,1118,314,351,44173,3138,2354,6281,707
2021,South Cambridgeshire,E07000012,82266,36046,64,685,1604,172,430,33507,2057,3997,3131,573
2021,Allerdale,E07000026,44235,10757,17,196,992,92,129,24859,2036,407,4328,422
2021,Barrow-in-Furness,E07000027,31182,6051,5,250,937,387,366,15685,1755,1030,4403,313
2021,Carlisle,E07000028,52949,10187,19,195,1791,200,146,29906,2449,1188,6347,521
2021,Copeland,E07000029,30571,7778,14,316,861,120,202,16849,1573,374,2218,266
2021,Eden,E07000030,27333,7682,13,69,405,44,48,14504,962,236,3062,308
2021,South Lakeland,E07000031,50139,13692,18,291,462,173,179,25555,1772,963,6460,574
2021,Amber Valley,E07000032,60171,15225,27,201,1458,153,313,35212,2430,543,4180,429
2021,Bolsover,E07000033,38100,6884,17,135,865,195,193,24349,2161,250,2714,337
2021,Chesterfield,E07000034,47534,10772,19,284,1962,614,204,26580,2439,455,3817,388
2021,Derbyshire Dales,E07000035,33228,11376,16,112,316,53,93,16972,1040,302,2655,293
2021,Erewash,E07000036,54967,13607,109,241,2157,216,315,30285,2390,1215,3950,482
2021,High Peak,E07000037,44614,12973,31,756,612,181,123,23176,1536,376,4501,349
2021,North East Derbyshire,E07000038,46564,11576,37,147,1183,196,201,28298,2008,297,2244,377
2021,South Derbyshire,E07000039,53904,14903,25,127,685,312,275,32062,2064,485,2555,411
2021,East Devon,E07000040,66728,19757,26,540,1159,113,441,34839,2149,1177,5856,671
2021,Exeter,E07000041,59699,18285,35,528,2838,208,472,22190,2176,2821,9603,543
2021,Mid Devon,E07000042,40282,11963,10,139,579,64,194,21306,1558,476,3605,388
2021,North Devon,E07000043,45163,10957,16,71,977,119,268,23589,1807,1098,5834,427
2021,South Hams,E07000044,40587,13451,28,137,491,59,299,20416,1183,412,3601,510
2021,Teignbridge,E07000045,62138,17497,22,612,1059,121,432,33785,2228,779,5013,590
2021,Torridge,E07000046,30051,7776,7,45,604,68,152,16989,1174,217,2746,273
2021,West Devon,E07000047,25384,7973,11,56,284,38,126,13172,829,235,2353,307
2021,Eastbourne,E07000061,43831,10125,53,1195,1506,418,229,21483,1989,1047,5285,501
2021,Hastings,E07000062,40900,10943,44,1068,1170,651,294,18992,2184,536,4495,523
2021,Lewes,E07000063,44507,15713,37,1028,2038,99,235,19656,1322,603,3350,426
2021,Rother,E07000064,37932,12306,31,872,332,131,200,19187,1311,345,2800,417
2021,Wealden,E07000065,74542,26043,49,1255,696,150,253,38611,2319,530,3989,647
2021,Basildon,E07000066,89013,27225,707,4967,1846,802,386,41731,3818,1057,5498,976
2021,Braintree,E07000067,76285,21933,137,1698,847,224,295,41638,2798,792,5241,682
2021,Brentwood,E07000068,37901,16784,539,2471,370,178,131,14189,867,178,1815,379
2021,Castle Point,E07000069,41010,11672,122,1839,808,165,203,21646,1536,422,2142,455
2021,Chelmsford,E07000070,89863,34522,256,2911,2034,204,341,38282,2574,1725,6231,783
2021,Colchester,E07000071,92016,28165,121,2069,2706,437,456,43618,3329,2274,8004,837
2021,Epping Forest,E07000072,65794,25171,4744,1538,853,467,297,27015,1723,403,2805,778
2021,Harlow,E07000073,45981,9631,753,979,1108,548,262,24427,2508,985,4245,535
2021,Maldon,E07000074,31257,9789,55,638,244,57,111,16866,998,292,1898,309
2021,Rochford,E07000075,40661,14659,60,1877,565,116,166,19583,1200,278,1752,405
2021,Tendring,E07000076,58281,13322,77,1090,642,288,309,33570,2432,1018,4895,638
2021,Uttlesford,E07000077,45740,18011,125,991,294,89,127,21785,1131,319,2453,415
2021,Cheltenham,E07000078,59158,21711,25,249,1717,118,235,22959,1980,2372,7320,472
2021,Cotswold,E07000079,44079,17228,40,157,217,41,149,20099,1377,529,3838,404
2021,Forest of Dean,E07000080,39989,11230,10,95,489,34,201,23378,1640,286,2285,341
2021,Gloucester,E07000081,65621,15908,24,215,2786,194,418,34341,3161,2174,5909,491
2021,Stroud,E07000082,59919,20942,25,176,664,66,290,30820,1960,860,3657,459
2021,Tewkesbury,E07000083,46522,15532,21,79,1034,43,206,24174,1520,1088,2489,336
2021,Basingstoke and Deane,E07000084,96973,38057,58,1396,2156,367,358,41928,3447,1394,7036,776
2021,East Hampshire,E07000085,61731,23141,42,707,417,99,235,30391,1968,487,3710,534
2021,Eastleigh,E07000086,69516,23893,41,853,829,189,421,35345,2351,1148,3829,617
2021,Fareham,E07000087,55632,19206,32,599,501,179,333,28382,1744,1200,2838,618
2021,Gosport,E07000088,38483,8865,23,208,1128,223,486,20010,1575,2433,2876,656
2021,Hart,E07000089,50445,22579,46,665,227,68,187,21942,1194,589,2535,413
2021,Havant,E07000090,56368,14413,18,624,1555,408,406,31164,2827,1181,3215,557
2021,New Forest,E07000091,78702,23960,28,448,709,140,405,42845,2761,1794,4767,845
2021,Rushmoor,E07000092,53018,15301,47,1217,1526,155,293,26669,2514,903,3835,558
2021,Test Valley,E07000093,65866,23856,33,510,570,247,256,31784,2418,1102,4528,562
2021,Winchester,E07000094,60573,26249,61,578,865,106,219,24217,1628,802,5324,524
2021,Broxbourne,E07000095,48305,14218,977,2608,997,314,234,23586,1613,518,2686,554
2021,Dacorum,E07000096,77198,30226,279,1640,1042,390,302,34277,2463,605,5279,695
2021,Hertsmere,E07000098,52766,21051,1310,1999,1509,269,234,21164,1314,357,2974,585
2021,North Hertfordshire,E07000099,67157,28689,113,2442,457,159,211,27107,2061,875,4567,476
2021,Three Rivers,E07000102,46949,19608,1698,1101,491,153,165,19817,1170,403,1948,395
2021,Watford,E07000103,52861,17899,1547,1872,1636,312,258,19958,1620,996,6181,582
2021,Ashford,E07000105,63614,19120,83,1575,1177,152,221,32389,2552,1186,4533,626
2021,Canterbury,E07000106,66165,20109,105,1537,1906,210,259,30603,2493,1105,7145,693
2021,Dartford,E07000107,58824,18217,475,4573,1963,394,429,26492,1904,532,3262,583
2021,Dover,E07000108,50926,12291,52,1023,1100,264,264,27830,2344,674,4462,622
2021,Gravesham,E07000109,49761,13037,203,2655,1665,224,344,24799,2591,405,3264,574
2021,Maidstone,E07000110,86406,26842,108,2239,1583,259,308,43325,3414,800,6631,897
2021,Sevenoaks,E07000111,56383,23775,161,3063,441,140,303,23224,1522,289,2959,506
2021,Folkestone and Hythe,E07000112,47819,13770,40,932,1319,256,198,23922,1932,538,4360,552
2021,Swale,E07000113,69202,17587,73,2200,477,214,387,37930,2990,935,5725,684
2021,Thanet,E07000114,59188,14408,72,1448,2076,561,362,29473,3166,1194,5787,641
2021,Tonbridge and Malling,E07000115,64429,23812,78,2200,603,123,283,30531,1984,564,3712,539
2021,Tunbridge Wells,E07000116,55900,23633,67,1724,835,130,192,21856,1629,506,4855,473
2021,Burnley,E07000117,40032,6738,16,193,1631,1143,112,22418,2568,403,4434,376
2021,Chorley,E07000118,57245,16580,27,479,889,188,182,31980,2357,634,3465,464
2021,Fylde,E07000119,35716,11361,31,176,793,159,116,18312,1312,535,2498,423
2021,Hyndburn,E07000120,35627,6309,8,223,960,993,148,21212,2150,267,2976,381
2021,Lancaster,E07000121,62401,15430,39,458,2094,304,309,31607,3061,1692,6769,638
2021,Pendle,E07000122,39623,7461,19,174,1151,911,105,22486,2282,335,4296,403
2021,Preston,E07000123,66634,16614,31,598,4224,748,235,32080,3899,1156,6403,646
2021,Ribble Valley,E07000124,30386,9005,16,151,246,67,85,17171,938,258,2200,249
2021,Rossendale,E07000125,33116,8036,18,68,1026,256,119,19570,1507,153,2060,303
2021,South Ribble,E07000126,54711,15731,15,305,1087,200,210,30627,2245,971,2904,416
2021,West Lancashire,E07000127,53546,13497,31,695,753,835,141,29653,2781,731,3904,525
2021,Wyre,E07000128,47837,12479,227,247,1128,191,198,26895,1989,834,3038,611
2021,Blaby,E07000129,51446,15526,23,134,998,196,185,28981,1968,881,2181,373
2021,Charnwood,E07000130,84800,25638,57,408,1975,234,307,44097,3163,1940,6274,707
2021,Harborough,E07000131,48771,17474,21,269,405,74,102,25108,1372,535,3057,354
2021,Hinckley and Bosworth,E07000132,55887,16666,28,168,702,113,189,31401,1948,824,3419,429
2021,Melton,E07000133,25465,7261,5,120,203,45,93,13863,912,420,2349,194
2021,North West Leicestershire,E07000134,51960,14874,18,66,669,165,262,30052,1952,595,2922,385
2021,Oadby and Wigston,E07000135,25986,7477,24,95,774,145,96,14012,1042,493,1584,244
2021,Boston,E07000136,33631,3558,27,77,522,166,143,20491,4154,1408,2748,337
2021,East Lindsey,E07000137,55577,10993,20,83,615,162,235,33094,2317,1193,6224,641
2021,Lincoln,E07000138,46719,9451,13,210,1727,459,249,21936,3203,2053,6877,541
2021,North Kesteven,E07000139,56892,15406,26,300,517,96,267,32959,2050,1285,3469,517
