date,geography,geography code,Economic activity status: Total: All usual residents aged 16 years and over,Economic activity status: Economically active (excluding full-time students),Economic activity status: Economically active (excluding full-time students):In employment,Economic activity status: Economically active (excluding full-time students):In employment:Employee,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economic activity status: Economically active (excluding full-time students): Unemployed,Economic activity status: Economically active and a full-time student,Economic activity status: Economically active and a full-time student:In employment,Economic activity status: Economically active and a full-time student:In employment:Employee,Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time,Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economic activity status: Economically active and a full-time student: Unemployed,Economic activity status: Economically inactive,Economic activity status: Economically inactive: Retired,Economic activity status: Economically inactive: Student,Economic activity status: Economically inactive: Looking after home or family,Economic activity status: Economically inactive: Long-term sick or disabled,Economic activity status: Economically inactive: Other
2021,North East,E12000001,2178960,1168967,1103190,960605,261249,699356,26672,6282,20390,115913,48864,67049,65777,49430,34866,32737,27043,5694,215,124,91,1914,1614,300,14564,960563,535456,125511,102299,125253,72044
2021,North West,E12000002,6025635,3405148,3237983,2756835,721033,2035802,83724,20753,62971,397424,172937,224487,167165,142099,103762,97606,80157,17449,674,441,233,5482,4400,1082,38337,2478388,1339300,338341,281575,321095,198077
2021,Yorkshire and The Humber,E12000003,4460298,2507425,2385242,2025917,553108,1472809,64138,15628,48510,295187,126158,169029,122183,105322,76126,71643,58958,12685,448,284,164,4035,3276,759,29196,1847551,1020196,257489,217941,208496,143429
2021,East Midlands,E12000004,3998047,2300518,2204428,1872026,487364,1384662,55929,12672,43257,276473,115845,160628,96090,93363,67898,63830,51950,11880,435,259,176,3633,2828,805,25465,1604166,923569,228961,173585,165064,112987
2021,West Midlands,E12000005,4801331,2710595,2557952,2162412,570220,1592192,67538,16451,51087,328002,138265,189737,152643,113221,80937,75424,58665,16759,692,443,249,4821,3653,1168,32284,1977515,1061221,280589,257817,214587,163301
2021,East,E12000006,5148282,3080335,2951030,2428867,627142,1801725,80371,18234,62137,441792,192148,249644,129305,102626,77610,71471,56655,14816,608,341,267,5531,4089,1442,25016,1965321,1178910,232814,237867,172871,142859
2021,London,E12000007,7103985,4511789,4220948,3356218,761441,2594777,135329,35661,99668,729401,325264,404137,290841,191900,139130,117127,85228,31899,2570,1448,1122,19433,13611,5822,52770,2400296,912920,511047,425661,256223,294445
2021,South East,E12000008,7554585,4543026,4354134,3551477,891387,2660090,116599,26094,90505,686058,306817,379241,188892,158519,117648,108677,89644,19033,817,491,326,8154,6404,1750,40871,2853040,1697916,384992,333553,234601,201978
2021,South West,E12000009,4735846,2717445,2617612,2128133,602803,1525330,72591,16510,56081,416888,186463,230425,99833,99785,74728,69510,58337,11173,435,278,157,4783,4024,759,25057,1918616,1212566,235708,177441,176111,116790
2021,Wales,W92000004,2559416,1391379,1327745,1118659,302900,815759,37733,7837,29896,171353,65335,106018,63634,55969,40706,38206,31644,6562,276,148,128,2224,1702,522,15263,1112068,631659,145181,109604,151321,74303
